date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:55	161489/161489	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:47:56%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/shutterstock-398092246.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/shutterstock-398092246.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:55	201715/201715	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:47:56%20GMT	https://www.hsbc.co.uk/wealth/insights/market-outlook/uk-in-focus/2024-04/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/market-outlook/uk-in-focus/2024-04/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:55	246187/246187	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2012:32:45%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/13424-man-walking-with-baggage-on-red-bg-2560x1440.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/13424-man-walking-with-baggage-on-red-bg-2560x1440.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:58	210566/210566	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:47:57%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/12314-learning-about-esg-image-dec-889x500.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/12314-learning-about-esg-image-dec-889x500.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:58	218329/218329	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:47:58%20GMT	https://www.hsbc.co.uk/wealth/insights/market-outlook/macro-monthly/2024-04/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/market-outlook/macro-monthly/2024-04/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:58	209991/209991	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:47:58%20GMT	https://www.hsbc.co.uk/wealth/insights/esg/learning-about-esg/2024-05-24/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/esg/learning-about-esg/2024-05-24/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:59	219689/219689	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:47:58%20GMT	https://www.hsbc.co.uk/wealth/insights/esg/why-esg-matters/2024-03-28/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/esg/why-esg-matters/2024-03-28/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:47:59	209077/209077	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:48:00%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/11734-sun-and-white-cup-on-blue-background-889x500.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/11734-sun-and-white-cup-on-blue-background-889x500.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:00	212877/212877	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:48:01%20GMT	https://www.hsbc.co.uk/wealth/insights/esg/learning-about-esg/progressing-esg-adoption-in-asia/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/esg/learning-about-esg/progressing-esg-adoption-in-asia/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:00	222482/222482	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:39:11%20GMT	https://www.hsbc.co.uk/wealth/insights/esg/why-esg-matters/how-sustainable-is-your-morning-coffee/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/esg/why-esg-matters/how-sustainable-is-your-morning-coffee/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:01	214195/214195	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:39:11%20GMT	https://www.hsbc.co.uk/wealth/insights/fx-insights/fx-viewpoint/2024-05-27/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/fx-insights/fx-viewpoint/2024-05-27/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:03	258336/258336	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:48:04%20GMT	https://www.hsbc.co.uk/wealth/insights/fx-insights/fx-trends/2024-05/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/fx-insights/fx-trends/2024-05/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:07	212973/212973	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:48:06%20GMT	https://www.hsbc.co.uk/wealth/insights/fx-insights/fx-viewpoint/2024-05-20/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/fx-insights/fx-viewpoint/2024-05-20/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:07	678686/678686	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:48:06%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/us11shutterstock570021616.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/banner-image/us11shutterstock570021616.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:10	209593/209593	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2015:48:09%20GMT	https://www.hsbc.co.uk/wealth/insights/fx-insights/fx-viewpoint/flash-2024-05-16/	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/wealth/insights/fx-insights/fx-viewpoint/flash-2024-05-16/index.html	(from https://www.hsbc.co.uk/wealth/insights/)
16:48:10	2220508/2220508	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202024%2015:48:03%20GMT	https://www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/currency-graph5-pwsimg-8546.jpg	C:/Users/hp/Desktop/hsbc/www.hsbc.co.uk/content/dam/hsbc/en/wealth/images/16-9-tile/currency-graph5-pwsimg-8546.jpg	(from https://www.hsbc.co.uk/wealth/insights/)
